real,imag
23105.000000,0.000000
21103.300912,-10935.891157
-17491.603858,7894.938709
-160.298740,99930.089960
-147674.627126,99253.333255
-162516.561957,158806.284677
-29919.019820,-112762.323060
-144982.058087,-3530.885966
47534.882654,8039.635858
384477.474069,262452.496958
201737.601305,112997.190641
497322.833747,-641061.627823
-210951.343447,-1568627.723404
-255930.895559,-275360.278296
623656.793707,715792.041087
-169044.417087,215184.050437
319467.314715,215410.593309
-49407.149729,54519.006199
-407461.175697,215977.168838
-255675.013716,340943.973766
181853.321391,255141.584486
-99924.663090,245716.035896
-103523.843871,-44275.327839
75197.211514,209439.934977
52272.900338,52093.772087
93865.657057,55890.603973
96435.885462,60492.797335
52520.426845,101956.782029
103216.460351,-52418.761035
15766.483128,-6243.285698
4387.714925,-41560.064155
21489.895083,-58614.845172
-2124.958998,-40118.754078
-840.299417,-50613.747498
30946.141430,12854.282197
-112992.871009,-71407.945269
-63849.445851,-6343.424106
-83751.396680,-59445.499488
-61377.846948,-35002.070551
-63002.803628,-14748.458581
-88719.021936,9632.966367
4696.600946,27805.270736
-22764.813505,-4090.246151
-58199.564583,35439.369723
-91335.489310,62471.398398
-122107.314919,-25887.914944
55559.385514,47819.819711
23446.217762,30642.038797
-2172.694065,40613.431886
18421.533265,23516.909256
35445.162899,40649.965830
10936.976972,37616.277788
19851.886520,52427.684565
14335.282457,29473.869338
23415.444262,19039.227200
27432.000541,9073.607378
25529.424878,7428.455766
23077.982530,-7241.307150
13545.985901,-12625.664424
12169.376500,-6508.445835
1911.074104,-14150.558533
5438.140285,-15282.208447
-4444.526655,-19174.714901
-3476.310657,-15858.774876
-15294.082350,-21488.616225
-15555.663095,-13457.126611
-14330.109949,-14771.538882
-25385.924263,-11676.580095
-27857.820325,-7292.887439
-29325.213572,1810.308474
-39607.422012,-6855.929331
-27825.763630,13190.686542
-23189.736799,13365.293867
-25990.574449,31477.626451
-54264.189943,20538.089063
-14170.564802,24857.295271
-15477.589102,11337.383106
-6393.114272,20831.070660
-6552.918859,26594.200943
-5071.379007,21680.018765
-702.454292,26915.578837
4050.955709,24440.393213
3696.499250,27224.671481
4252.892887,20729.253392
14481.704306,9436.022625
5579.045853,8396.647081
7934.940163,4542.840537
7435.191185,2830.846908
11029.130420,-6637.144805
6508.314475,-6555.103613
8868.333059,-8586.875770
707.106227,-19410.003888
956.873671,-11567.892410
-6427.250834,-11620.989435
-4146.524096,-11542.551324
-9229.233035,-11946.144682
-16856.675098,-9090.893400
-15406.815173,-9202.720157
-15643.309544,-9485.845880
-21911.171876,-6294.106463
-25712.999743,-107.062611
-23489.061497,4142.856564
-19645.016863,6443.971835
-22843.314791,6093.339290
-19826.410750,9547.288416
-17497.408409,13938.479503
-18082.839844,14127.714778
-16221.953557,17315.675624
-11442.452216,21947.628686
-5397.497806,19228.293224
-5872.935327,15798.314784
-5732.404942,19072.193102
2811.003185,16364.503560
4396.505642,12121.177226
2205.876573,11259.305203
3882.661694,9573.219440
6566.070935,5557.949176
7320.783367,3097.539533
6648.277447,999.210514
4532.906047,-378.096650
4848.979377,-2253.415276
1767.827850,-9081.911077
-4586.970116,-6222.525468
-2647.405349,-3035.464989
-1794.511445,-8662.773064
-8474.405572,-10332.735713
-10827.396256,-3831.969560
-10784.901233,-7451.613342
-14891.403600,-7831.488892
-18511.542765,-4939.920247
-18543.522429,-631.940857
-18616.608123,1615.931073
-18252.696343,2863.094472
-19286.659747,3525.832254
-18404.342308,9052.123543
-14633.864888,9804.123357
-14090.427578,6130.811013
-20840.303743,11014.958501
-12298.492733,22961.468230
-1753.904504,14536.125932
-8893.565616,8479.987387
-6070.388120,19196.776570
468.324166,11781.066122
-5580.794481,6982.792279
-5514.751381,14463.470842
2557.378395,16422.140291
10448.132238,8330.027402
2268.174913,-3452.802337
-1540.172052,4348.236795
4395.750492,3669.696503
2486.513281,-5384.130643
-8569.197680,-1602.625345
-40.605005,7558.726806
6582.544385,-8501.481552
-6382.548523,-11978.201369
-10928.202282,-5558.678562
-8589.281803,-4126.737836
-11235.978267,-6828.394164
-15704.045586,-3421.405335
-13457.993910,1569.538453
-8934.139552,-1203.522749
-12624.600274,-4689.549568
-22062.212304,-2804.978445
-19124.879690,6430.844992
-15038.802858,5893.390319
-19560.594548,4576.337514
-18517.614556,15014.482695
-3361.038938,12902.363451
-11515.263922,3302.155051
-17774.487057,9293.714166
-14645.691602,13349.130760
-5549.269211,15180.499821
-7959.683886,13194.213582
-2052.797352,15750.697840
2067.308645,11585.757024
319.773512,2005.115810
-9161.146170,1944.414778
-4798.576335,11736.183176
3331.075913,9358.851339
1444.454238,795.281665
-760.049854,5612.165798
6146.260553,-842.031205
-1203.781695,-9761.449616
-10565.899013,-5119.734684
-8220.225370,517.018896
-6099.898238,-796.180773
-5894.489010,-3470.610620
-5540.259046,-3077.375240
-8232.424818,-6456.490471
-11757.722030,-7810.768729
-19468.169698,-6628.830430
-19942.364852,4401.528970
-14130.807165,6381.031201
-11723.984712,4049.574752
-13276.333350,2363.360301
-11780.759434,2812.588067
-16048.314669,-325.452771
-20878.028733,7941.350310
-18689.381285,13319.310945
-12727.300915,18302.498772
-5693.986330,13083.750378
-4407.349069,8171.038250
-7256.925697,5406.472681
-11551.532559,8383.546891
-10487.853215,11407.011896
-8225.170365,13755.519100
-1784.488160,15644.717316
2932.346048,9873.696848
1520.851749,1127.761009
-1564.024562,1230.730723
-6042.948652,894.212904
-8903.899590,2927.232974
-5497.048519,6632.601803
-2247.816841,6761.130662
2221.818354,-371.355435
-2225.649832,-8040.504152
-9962.377368,-9130.230017
-16197.254311,-4324.245022
-13728.858670,953.452059
-13930.028244,5179.084373
-10733.580980,2746.728450
-6496.859769,253.835436
-13203.957771,-8318.624909
-20577.978160,-4150.836728
-25187.112204,3635.794642
-20396.148912,10420.257224
-15801.564778,11828.103858
-11091.582867,10930.736963
-11025.470193,5828.511336
-13575.554763,2169.806950
-19363.435056,5983.377876
-19889.196843,12950.740806
-15886.819652,17096.911166
-6582.034431,18810.120667
-4551.940094,12744.211143
-3532.184772,7355.090727
-6564.838589,4223.149019
-12205.052342,2076.990716
-14708.500677,13203.909867
-6335.630753,15143.358302
-1605.413752,10588.398950
1107.847330,1228.090887
-2437.042506,115.431402
-7234.102402,-4965.234320
-14549.481946,-2194.751923
-14346.152159,5600.810220
-10462.227850,8592.861577
-5195.204700,3008.244958
-5820.618845,-1570.727217
-10415.585889,-5022.598830
-20164.297460,-7693.542765
-26287.794525,791.002562
-26969.110421,5797.240036
-18237.080875,14125.727701
-8212.384827,5927.215850
-13350.278724,2498.792723
-19886.909313,-5023.108988
-29378.211036,4300.501419
-30668.103789,11163.503367
-26462.000724,21929.619449
-12265.570919,22207.917648
-8483.519748,10346.856039
-12348.547359,1716.475614
-26291.857021,3388.137366
-30184.367200,14250.345395
-22403.236651,24623.411830
-12508.671526,22593.252604
-5298.410539,14491.559923
-6370.530896,1464.940465
-18169.699931,4612.307250
-21268.324649,7770.206603
-20171.421874,13944.100520
-17073.586176,14236.635392
-17100.295684,8968.459937
-14195.342132,13899.763519
-7151.545413,9786.152600
-13045.279526,-5273.433625
-33666.068260,-5450.393525
-45247.000490,5962.043966
-41275.680538,26567.318379
-24967.584810,29676.916895
-8990.287882,15467.418706
-16082.280917,-12790.039809
-58389.998273,-25548.573456
-93540.876684,9739.119893
-83958.604566,49299.702051
-35676.914493,85488.367558
5479.140789,33581.107694
-33734.899483,-24701.413287
-145842.628758,52492.433258
-356529.540204,-104491.737660
-299374.913595,207387.697057
-271530.830694,544294.959177
-24208.477088,-2081114.504370
183515.963460,325177.471240
261759.467125,101928.777607
137974.447808,352849.291138
16219.064053,-350032.730834
-22510.190070,-79347.984842
8483.380951,-7473.610385
44963.378405,51751.974643
79371.748061,-12143.704828
52498.448657,-42879.823129
7238.795955,-35379.031052
3513.929788,-8704.963447
22988.453002,6190.743509
38161.655240,-6082.536268
32611.119752,-21549.690112
13843.858295,-25419.321812
104.950396,-10164.763220
5115.355522,-1145.038807
19170.839608,351.901867
22754.422832,-12025.267500
7869.618436,-22159.332806
-3167.180371,-12392.904178
-2333.133396,-2355.341068
3284.598223,711.726143
10934.425971,545.303466
5386.941652,-6236.747128
3716.672740,-5782.820872
-4209.531709,-4994.045025
-5234.829628,1478.749113
521.406547,5285.126436
5972.852987,5789.161860
7407.983491,-1439.480014
698.802212,2292.870848
2396.938284,3016.731346
1972.352020,-1422.935141
3660.257476,4827.934522
3097.310195,3706.474655
8389.663141,6310.054138
8717.342999,-3443.955906
6057.534058,2274.975501
1039.466800,-1932.328644
7805.748174,-2325.261590
2903.820227,-2279.343344
3959.572874,2003.927422
6785.742867,-1749.474641
5731.516750,-7224.982851
1809.717619,-4296.686329
-1810.687947,-2930.744431
-276.070040,-4406.470825
-1445.813108,-4447.439621
-775.197526,-4350.596884
-3671.294897,1515.847049
-1510.771498,-6483.051646
-5917.226237,-2606.262311
-5883.883055,-1669.741177
-5077.200270,1058.305272
-6543.799276,165.321492
-6505.708221,4033.546089
-3979.966520,4138.056248
-5515.718399,508.543421
-4875.704851,1925.658282
-6491.179756,6369.871155
-3935.405134,7102.664568
-1117.684408,5968.763721
-2808.523525,4147.075385
-2488.731642,6214.499620
-206.998700,4936.390366
593.613601,4583.377419
-1251.041780,4396.953071
1039.621163,5343.573886
5156.114893,1080.439345
-450.094107,932.365842
202.783398,2904.183391
1574.126681,3197.626985
2869.195987,-95.193379
-1089.295454,-3545.745080
-2137.211061,47.955031
-2374.832790,-3152.695442
-2197.840584,-2119.451322
-3636.935019,-2643.825564
-2696.866125,-2810.766735
-4513.896014,-2270.986722
-5057.628604,-4213.771368
-8472.210898,-220.052117
-6477.966911,-1066.325476
-6485.197383,339.155645
-8816.265512,426.343418
-8329.352807,3950.129721
-6871.688757,2134.720267
-9255.896379,3071.900754
-9222.432997,2338.035935
-8066.763347,8145.657303
-7760.417574,4829.620465
-7041.650043,8151.277530
-4445.459896,4525.250552
-5000.172082,5295.358440
-5705.732737,7883.108649
-3961.833554,5584.794382
-4722.798029,4484.813298
-3672.758400,5666.462305
-1342.122316,5910.431164
-1076.618186,4179.732534
-708.215532,881.735733
-3459.211932,719.311229
-3241.290904,3550.865908
-3599.945640,2245.570229
-1497.272939,-399.069518
-2297.789128,-715.574862
-4879.015957,-1501.535994
-3956.391328,833.521203
-7578.414054,-1793.880852
-5754.689075,189.068338
-7996.370754,-1164.184587
-8294.737961,-102.523545
-8752.899582,2339.604721
-9315.446348,-796.437374
-8163.644026,546.300468
-10810.265076,344.547391
-9943.923466,3821.050888
-9311.847751,5061.370591
-12324.666447,4399.823200
-7853.632888,5363.338057
-6866.029479,4769.329615
-8648.725059,5337.963802
-11399.849095,7864.068804
-6902.747832,6144.513169
-4672.417649,7960.669480
-4596.380956,6694.419545
-6842.121001,6337.045993
-4712.647827,6391.515364
-4337.001209,8025.258679
-5337.923102,4041.700148
-2603.550033,4099.093848
-3271.997923,5093.556896
-2844.660455,2401.362629
-5686.534973,3486.165375
-3710.290348,5580.366539
-4279.371753,1524.406468
-5512.231912,201.829754
-7671.398122,2051.786144
-9012.903909,-347.214760
-7907.916604,594.501109
-8821.450258,3694.586166
-8702.931518,-1009.208885
-9801.264752,1996.558398
-12847.125352,1262.052181
-11572.530915,2751.448528
-12731.700998,-995.460789
-12634.925349,3728.599970
-10207.339707,4034.972428
-12490.087116,6722.597492
-9890.262859,4810.853299
-11588.738630,7914.458573
-9709.683724,3518.202097
-14269.262049,7789.983194
-12168.596539,8424.024327
-7834.716638,9107.221780
-7898.870106,10086.080950
-8552.244968,6365.726757
-6437.878999,6739.444425
-8900.458312,6876.910811
-8928.968483,4546.385898
-9557.746338,10830.987453
-7701.901950,7526.592273
-1250.083505,5176.592465
-4903.029261,962.644718
-8980.857401,1890.347200
-10979.205701,6671.931580
-7008.510942,1647.697258
-9920.233901,4625.201291
-6256.046375,4294.264798
-8524.558364,3423.417948
-8792.526680,-2990.525784
-13183.497821,2390.251418
-14235.664687,3673.157059
-14364.088133,3889.789261
-10365.596984,4259.615296
-14648.527480,4275.988690
-12836.413606,7235.215641
-8767.030235,747.695411
-19074.937412,2148.531726
-18651.088851,10470.609947
-15302.690320,10274.641756
-12877.919794,6961.314190
-11795.758644,8622.659565
-12383.081772,8616.240102
-14618.587134,5803.628363
-13171.942474,7511.483955
-14511.660819,10276.542863
-12912.921294,12581.891659
-8228.896000,13433.985162
-8413.063163,8343.512478
-10670.489521,6427.636090
-12157.563452,9380.960730
-11354.054978,4930.876062
-14125.488881,8792.841620
-10780.543331,11599.456684
-6968.557971,7735.570357
-11485.543507,4365.939575
-11002.360330,1815.912919
-15989.917755,4961.448477
-14447.661948,3610.558045
-13394.680157,9872.816640
-12798.006813,4930.875549
-17086.643539,6260.728737
-15131.684868,5590.658066
-18922.800966,5520.569307
-20947.570834,3355.264752
-17096.244975,8427.304074
-19980.305555,7506.163165
-23059.286527,8693.437202
-18097.820876,12543.021718
-18019.612687,8334.948521
-17149.533153,8651.241999
-23290.908295,9637.496603
-22394.032233,14950.588240
-19585.083883,12048.331076
-18881.560511,13895.226399
-18997.105871,15581.858271
-16192.165243,10440.678708
-13890.898414,10623.951325
-22438.826097,12064.018487
-18808.335799,16575.676970
-17674.460676,13980.179244
-16599.270640,11993.775004
-16471.768486,11552.051396
-16064.590529,11505.831393
-16078.585966,7381.996971
-19440.318266,9061.237186
-21638.422377,10422.391327
-19608.960737,13981.938714
-16792.498571,7480.007513
-19985.490281,8420.736941
-23749.781160,10176.833803
-20310.212059,6186.934620
-24537.945396,7331.603643
-28968.757138,12978.780003
-23045.376246,16090.179936
-27590.493440,8566.585669
-28478.590264,10856.637707
-29783.370372,14857.894953
-27873.804246,13603.768979
-30646.882727,11899.961045
-33939.714407,16465.831478
-34743.956882,19628.842421
-29756.437415,19620.370863
-28702.478624,18213.646849
-32683.898695,13398.530921
-32976.098465,18744.178067
-35989.794876,21802.708915
-35095.050122,22994.172373
-31718.504848,25415.265285
-24119.267875,18929.590385
-32517.273320,14494.979308
-38965.273428,18401.936559
-42341.753817,27731.296481
-33075.412601,28635.052599
-26896.095504,26256.292195
-28528.697128,17743.106756
-40290.836948,4932.245253
-53859.939985,21140.455773
-52717.930793,31373.981293
-39931.831082,39292.706961
-23778.009901,31822.179547
-30225.376886,10802.754357
-53652.155931,-3632.482493
-83216.564013,14899.490020
-82376.428991,49292.346337
-45827.256924,67090.825903
-19944.937036,48170.190141
-26159.287577,3475.803537
-73716.542572,-23289.244396
-126097.969169,17246.122776
-132003.066087,81029.268987
-63847.956810,120485.479127
637.492964,77282.800450
-10322.844851,-7664.673949
-103485.093188,-47563.685030
-203501.324526,10606.241486
-198535.922770,138195.781861
-93328.859663,211368.191564
14419.033360,139246.393585
25369.784861,-35847.006809
-163116.033845,-88565.477266
-350070.352936,-8299.587956
-316972.181658,188974.267173
-139598.391788,743698.961315
55207.860073,168046.747572
-58502.227758,-69812.578537
-925543.691385,1011840.854878
-2014223.111897,-1734202.468122
-1403962.940951,791544.519075
-1164677.604010,1973204.202921
1402131.197303,-8502386.249107
550160.496956,1295638.388628
1010159.610092,499829.572863
-436870.118851,2015530.347020
551196.528048,-1977754.744575
52553.265973,-495638.157897
241068.915118,-196449.977738
-66675.401678,265561.154879
280493.283557,-25831.181114
248139.812706,-147384.906286
155393.789739,-186186.625972
36911.466539,-146521.326023
44844.663254,-25204.920028
111632.188297,-1094.879055
131482.203916,-39246.626407
120115.823590,-92402.025969
65150.072445,-84378.022880
48023.436497,-50058.807245
56672.970435,-12305.341534
90200.002630,-20666.735689
89591.933555,-48402.484438
66311.401408,-61747.002383
56589.166578,-48280.561884
43310.730329,-30548.888748
52873.050182,-12784.593817
73461.374313,-20804.220704
69155.572138,-37139.691967
54064.987343,-48131.242483
37648.829957,-38946.511079
37464.397677,-24366.293412
46761.758358,-17770.212006
55430.761449,-24098.418019
52893.667322,-34913.098940
41978.097015,-38598.508781
35691.357773,-27651.302396
34961.967236,-27147.812986
38451.671470,-16190.936187
37430.998863,-23229.533114
37661.698562,-25542.375762
28617.814906,-22966.734162
35615.012656,-21137.719305
27988.305140,-23888.949112
25689.478207,-21398.457377
27904.536205,-16663.006366
29845.983388,-17833.157630
28442.933200,-14256.643838
26936.206090,-17063.924278
28341.473549,-19076.803252
28145.595631,-17828.047100
26855.722248,-16312.728779
26095.502388,-12178.032824
27586.827711,-10925.734194
27820.027908,-12729.235517
30821.071361,-13442.250860
26765.440409,-16589.230538
26877.581224,-13845.310712
