real,imag
29325.000000,0.000000
1756.244670,-31163.464214
14627.274131,-8569.946213
24939.607201,27967.591001
-50637.473004,-86318.941189
-2270.820919,67673.244958
-10229.635887,63258.088292
-113679.582100,131369.570278
-147039.766046,-477729.991057
-139859.961034,212558.984686
246525.078183,-46999.173910
300413.576918,-159581.596256
377557.608622,-320159.615911
-38635.713957,-166953.903390
-61567.104376,380319.861095
-238052.739276,345776.989055
106462.438834,-283440.841799
389559.097124,-157272.597712
565839.647998,158523.111281
71567.898121,41118.874447
-49829.320579,-200029.164868
-253475.254302,222105.268939
-72434.833630,44928.605474
22833.081127,194383.518854
23301.053754,150859.933553
-13998.008628,24725.318444
-29922.648864,9949.858736
45399.795428,20150.298744
50390.425463,55082.451215
48671.873989,60204.022182
-6918.455945,52136.478903
162144.977286,-18009.533360
27520.317327,53906.194592
-399.391063,18455.680241
-28569.224752,24886.029589
-2504.609911,13862.996278
13046.749760,-9491.331154
3948.235000,30781.497018
843.908211,30573.810544
-23736.484680,22053.098705
5278.617356,37868.402931
3797.578639,44408.222595
-24096.063782,64168.994958
-51135.049230,73646.210782
773.209206,54382.790003
-16480.391142,53324.596047
-5018.767192,61242.836874
-65.688144,29148.446865
17541.061909,25888.410336
4570.805415,46746.875053
-5683.494235,22132.961513
2352.841601,34810.672533
-9554.943458,67941.585592
-13195.061701,24221.157976
-36268.025679,12966.492797
-24186.181418,42624.001456
-20701.308693,52595.180009
-20222.082695,40069.654155
-40730.611803,46912.659557
-28789.561593,-1812.982613
-28192.917449,44666.212912
7580.432101,32215.100687
-71802.757010,20605.278550
-10413.411113,10858.998112
-6163.479446,14917.756596
-5365.666945,35084.707548
-27041.911209,35968.260182
-69926.140372,40483.377045
-75818.007614,26705.076725
-54256.200307,23882.530931
-75458.520562,27009.335452
-53410.997939,37828.037570
-94128.851800,30862.655985
-68117.268827,60100.260925
-46076.257931,61170.172298
-94971.160628,137661.962814
-173833.563071,83942.497024
-141698.460578,56151.470635
-171080.435004,102131.924846
-153941.236724,106566.394931
-220376.163800,157350.300899
-234558.492571,142745.780401
