real,imag
38001.000000,0.000000
-40530.439794,1031.419415
41807.624729,3557.333435
-36012.231101,-7368.202749
28191.012243,2548.651972
-29383.695156,8510.946674
40665.241082,-12456.993866
-48999.088271,4276.814409
45444.122708,5964.113542
-35921.371252,-6503.764591
32780.346221,-577.193902
-36893.733139,4392.841264
39190.558825,-2114.863691
-35924.193724,2255.893258
36276.849098,-8993.157490
-45734.092573,12515.329444
54936.645553,-4170.378702
-50927.436123,-8574.520509
37602.531273,9236.767107
-32754.738668,3581.659671
43819.405770,-13275.489485
-57539.940260,7537.235426
59295.379071,5022.070284
-53557.494956,-9791.258962
54199.057075,9515.679822
-57816.361453,-18735.612566
45913.701143,33703.942346
-18503.260200,-28453.050601
9479.987104,-7625.147065
-47647.302492,38407.134927
106792.993068,-12205.901052
-115716.023830,-70069.084528
36950.143497,132748.908266
73679.221373,-96162.160361
-106113.913243,-28680.796653
11052.584482,130165.611295
136423.670147,-100363.964420
-192845.973555,-54685.187343
82619.849452,198891.496932
116475.329624,-189948.059696
-236983.963108,9763.986597
161004.886682,207130.757238
64458.709630,-278554.029366
-255495.993371,136916.456167
244985.728464,98358.256044
-41460.050575,-212729.337276
-161600.414372,92850.098618
156650.674883,150756.186429
67488.095176,-273070.522176
-296201.963127,135579.376187
294315.192657,137451.077336
-59344.481541,-273620.980591
-168427.583009,140731.927588
158551.666669,110247.103412
57795.151717,-205869.272711
-224598.027316,56834.229565
155935.429859,147187.861097
54644.584263,-163174.529754
-152771.684196,-21846.709798
26451.341278,185962.164854
170317.661035,-141990.554563
-211262.828293,-45837.164429
66493.666146,152916.746304
77744.902148,-68710.810058
-56845.779135,-84578.513364
-82049.306954,120158.066881
160014.191423,-13577.388123
-95259.315897,-87694.082433
-10886.862476,64185.502107
21662.307837,34212.443196
62048.724232,-71649.311688
-119814.683367,7257.801434
78700.075571,64267.987324
-1247.700094,-48871.686721
-8935.217206,-25963.791849
-55105.033948,58458.271710
103642.582375,-11367.826702
-76042.816287,-45790.770410
16331.048120,37407.342422
-6050.907265,19956.498005
54812.358204,-47874.396773
-95234.233790,14838.690394
80570.478884,27937.485342
-44719.767506,-25866.291091
44748.553521,-2124.552287
-73365.374477,-2310.828704
68741.615438,42851.872968
-11654.092194,-52484.142806
-29290.514498,-12208.893131
-20788.048939,92564.938018
131024.189099,-83266.021836
-179026.143239,-30630.034934
94315.640343,133837.141851
43079.655974,-105340.919329
-81914.685160,-32692.908820
-22550.707237,128439.819179
147483.359902,-77188.535556
-146924.001968,-48589.717215
33058.935942,84825.866937
33913.023887,16878.074041
49422.731125,-119268.512117
-185182.090820,73193.142551
191421.718900,76457.110491
-49963.996829,-131492.692506
-43918.241265,4360.712176
-69320.341469,134352.971638
269978.953388,-55987.424431
-273773.321282,-201415.153030
7863.343473,327924.684688
239307.453034,-123845.560611
-148990.588667,-199771.876106
-195475.456833,239499.927746
361215.104703,81022.516419
-105057.049875,-365323.526874
-278378.324448,223053.875953
297420.613565,207016.031338
96336.102227,-398835.344627
-417252.752455,116814.170306
273998.317462,257973.694941
96441.881858,-229373.692492
-144553.360199,-123661.231816
-208867.020647,236986.637467
413134.682604,128430.667722
-58800.539972,-467880.324964
-447786.393828,189570.837004
339250.017768,474292.877813
412969.058629,-627392.803092
-879437.645673,-92587.946948
332166.749246,859413.101660
659574.968742,-609163.686339
-794545.691214,-487920.080054
-256853.246315,1054092.222248
1245025.871158,-228192.768886
-837111.691286,-1085503.151158
-591229.673142,1240331.519815
1311482.966205,14029.529715
-467216.360214,-1115827.366129
-743707.904398,724290.982356
661059.981396,433753.504544
493141.460770,-523385.941703
-811432.422556,-753677.525895
-568495.807578,1507670.788517
1909502.770703,-239110.550842
-1018179.257262,-1690543.599244
-1436805.212015,1426651.422632
2141110.708622,1422396.642680
672367.202320,-3510332.985525
-4266662.428783,1582749.262968
4133308.577053,2963269.949937
275807.309973,-4987543.334697
-4098950.074252,1728768.217692
2543770.046074,3223199.746789
2932350.244325,-3668532.029440
-5701969.006005,-1621077.051486
1748522.801521,6796159.962855
5085536.380127,-5515154.046653
-7181271.262892,-1343574.801044
2083308.692646,6342946.474801
4456706.770117,-4089545.580344
-5188105.742117,-2473431.238444
-204300.160680,5688364.153260
5073460.726962,-2256239.577035
-3971465.732775,-3244091.208425
-1121341.190188,4337427.470825
3833205.179010,-410322.149396
-1388504.578864,-3195012.206074
-2502042.270766,2231622.505284
2897514.701270,1473257.117974
202685.854324,-3009422.543611
-2497700.874141,833893.959976
1324122.259818,1742831.007179
1171584.813166,-1396043.132379
-1412365.438738,-895742.602728
-699607.784161,1617049.223219
1944204.698793,290936.040330
-415885.609313,-2109285.160725
-1882892.316060,1231235.414109
1873263.909836,1264226.537827
421109.710822,-2156232.691214
-2022525.743751,426343.851885
1051678.881069,1540598.185526
927180.371139,-1310478.695539
-1268352.707250,-440462.616596
-170554.506649,1148952.742278
1109023.148701,4329.211525
-199735.986827,-1137656.497682
-1148289.095608,501081.869702
896350.986213,1038555.790781
701422.931772,-1289816.667590
-1480445.890560,-149598.517594
403929.015107,1353313.980040
1042301.604589,-759342.753695
-957162.120250,-732692.314530
-403280.238772,1107271.295387
1124100.699489,-11380.239091
-346266.927464,-907660.475259
-654049.038332,418895.548475
405827.437619,621975.964586
673543.187244,-619795.733389
-971773.569359,-450051.391388
33791.941902,1068924.376981
829662.237060,-392770.187711
-466156.118756,-575392.458652
-493083.825009,484157.286957
612273.677237,428899.282399
255489.063057,-745992.462025
-799973.916150,-37933.009489
199415.012493,803407.381618
691178.894962,-474892.251966
-625250.108705,-406993.532053
-188899.113849,510269.329346
404468.171137,287332.410705
433474.595689,-682545.316221
-1136363.895373,-125354.333161
558525.072797,1168281.204004
681893.870164,-1010273.174398
-984125.407592,-188645.234334
9038.848911,832409.540245
814128.766284,-118168.205979
