real,imag
-1196688.000000,0.000000
-1041093.756867,574320.862032
-549418.059700,788298.904071
-267354.615604,886043.604213
228842.409021,693159.671173
186905.734207,371995.923644
139885.992740,251752.771144
39259.380047,387040.436990
341329.365370,243473.607707
50904.704512,76569.940689
58685.405724,217924.143761
62945.178698,375787.366540
488122.710261,190550.190148
35991.538830,-170281.038338
-34071.810649,266056.431092
188550.963998,177880.609594
49064.311434,85101.569673
42309.388007,363996.666892
404691.665899,157799.207044
-17199.138622,-18579.001808
46452.747754,408564.664273
368171.945676,397778.310399
599870.198878,68892.556179
188509.852448,-215724.300717
114915.311692,191163.019217
461042.668176,45959.702015
277270.346337,-304691.794389
-127878.868508,-254275.308275
-283324.051160,201856.019611
251602.167475,456092.740761
338850.752638,-152906.283586
-200334.649214,67274.837546
120399.215629,397747.474856
303828.462424,287917.064764
424551.646986,115434.420861
303826.526988,-2489.332602
304437.765398,-91857.455874
2806.885507,-71076.875660
223764.600672,211161.576906
212744.308185,-190510.970038
-131659.626100,172658.535335
297106.376286,232544.984663
173046.885826,156962.185819
487854.673579,74863.895704
69059.738872,-128639.074274
382628.768938,185549.996593
175162.583456,-356055.518863
-63266.598922,61183.172011
-67912.109001,58625.513330
137384.061905,477597.229066
405934.537884,104490.599289
322512.313433,174492.216268
424672.990256,-22121.073505
419654.815528,-106870.002954
126747.801526,-324913.527285
107174.865041,-59728.720370
-142862.433488,-171491.869515
120719.397495,292145.532422
-50877.249170,-163432.931725
115306.315503,548502.556137
262322.961829,-185160.526317
106648.676468,547576.726615
628771.316616,-317205.921663
-181892.049725,90549.711350
356529.128350,-60839.707908
-142510.158237,154006.409524
365165.240451,54497.099135
-104821.039884,76467.606283
214819.520940,196597.241438
87363.525213,227807.846963
294860.784856,90806.996372
4329.414108,228848.017626
301045.034451,307327.751646
357826.412878,315457.018148
489230.435028,-10927.665680
205043.567465,132662.066209
429455.235605,37229.731670
305282.062538,62614.856766
343145.408875,-184331.433164
33726.277094,36158.397397
183073.808482,19819.054509
123654.655414,209784.318339
217416.117017,-17954.894339
30619.450247,341567.597775
393342.602642,170538.278984
241671.475158,233042.194368
319603.136957,37146.998301
197012.996272,369998.596717
